Quantity,Manufacturer Part Number,Manufacturer,Customer Reference,Value,Footprint,Description
3,RC0805FR-0749R9L,YAGEO,"DIG_Card R104,R312,R313",49.9R,R_0805_2012Metric,Res 49.9R 1% 0805 (LO back-term)
2,MPZ2012S601AT000,TDK,"DIG_Card FB301,FB302",600R@100MHz,L_0805_2012Metric,Ferrite bead 600R@100MHz 0805 (clock rail filter)
1,SN74LVC1G125DBVR,Texas Instruments,DIG_Card U303,74LVC1G125,SOT-23-5,Single buffer/3-state (10MHz clock buf)
1,RC0805FR-079K53L,YAGEO,DIG_Card VM_R52,9.53k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,Res 9.53k 1% 0805 (VM divider)
4,AD9833BRMZ,Analog Devices,"DIG_Card U34,U35,U38,U39",AD9833xRM,MSOP-10_3x3mm_P0.5mm,DDS waveform gen 25MHz (CH2 ref LO)
1,ASE-10.000MHZ-LC-T,Abracon,DIG_Card Y1,ASE-10.000MHZ-LC-T,XTAL_ASE-10.000MHZ-LC-T,10MHz CMOS XO 3.3V (Y1)
2,BAT54S-7-F,Diodes Incorporated,"DIG_Card D301,D302",BAT54S,SOT-23,Dual Schottky series (ERR2 ADC clamp)
9,BAT54WS-7-F,Diodes Incorporated,"DIG_Card D303,D304,D305,D306,D307,D308,D309,D310,D311",BAT54WS,D_SOD-323,Schottky (VM fault diode-OR)
1,BAV99-7-F,Diodes Incorporated,DIG_Card D24,BAV99,SOT-23,Dual switching diode (ERR clamp)
1,CDCE913PWR,Texas Instruments,DIG_Card U42,CDCE913PWG4,SOP65P640X120-14N,1-PLL clock synth (CDCE913)
1,1568-COM-28379-ND,SparkFun,DIG_Card U44,CR2013-MI2120,CR2013-MI2120,2.4in ILI9341 320x240 SPI TFT (DigiKey 1568-COM-28379-ND; may be cabled off-board)
1,374144-E,TE Connectivity,DIG_Card J301,DIN41612_M_universal,DIN41612_M_3x8+8_Male_Horizontal_THT_Power,DIN41612 Type M 24sig+8pwr male R/A
9,150080GS75000,Wurth Elektronik,"DIG_Card VM_D16,VM_D17,VM_D18,VM_D19,VM_D20,VM_D21,VM_D22,VM_D23,VM_D24",Green LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Green LED 0805 rail-status indicator
5,LM339DR,Texas Instruments,"DIG_Card VM_U23,VM_U25,VM_U26,VM_U27,VM_U28",LM339,SOIC-14_3.9x8.7mm_P1.27mm,Quad comparator (voltage-monitor windows)
1,LMV7219M5/NOPB,Texas Instruments,DIG_Card U40,LMV7219M5,SOT-23-5,7ns comparator (ext-ref squarer)
1,MCP6002-E/SN,Microchip,DIG_Card VM_U22,MCP6002,SOIC-8_3.9x4.9mm_P1.27mm,Dual op-amp (VHI/VLO reference buffers)
1,MCP6004-E/SL,Microchip,DIG_Card VM_U24,MCP6004,SOIC-14_3.9x8.7mm_P1.27mm,Quad op-amp (VM buffers/references)
9,MMBT3904-7-F,Diodes Incorporated,"DIG_Card VM_Q11,VM_Q12,VM_Q13,VM_Q14,VM_Q15,VM_Q16,VM_Q17,VM_Q18,VM_Q19",MMBT3904,SOT-23,NPN 40V (VM window/LED driver)
2,OPA192IDBVR,Texas Instruments,"DIG_Card U301,U302",OPA192IDBVR,SOT-23-5,Precision op-amp (MOD2 buffer)
3,ACX1234-ND,(DigiKey PN),"DIG_Card J2,J302,J302B1",SMA,SMA_BAT_Wireless_BWSMA-KWE-Z001,SMA connector (DigiKey ACX1234-ND); fp BWSMA-KWE-Z001
1,SN74LVC1G3157DBVR,Texas Instruments,DIG_Card U41,SN74LVC1G3157DBVR,SOT-23-6_Handsoldering,SPDT analog switch (clock int/ext mux)
1,Teensy 4.1,PJRC,DIG_Card A1,TEENSY_4.1,TEENSY_LONG_EXT,Teensy 4.1 MCU module - ORDER DIRECT from pjrc.com (~$31.50; not DigiKey-stocked)
